#query seed_ortholog evalue score eggNOG_OGs max_annot_lvl COG_category Description Preferred_name GOs EC KEGG_ko KEGG_Pathway KEGG_Module KEGG_Reaction KEGG_rclass BRITE KEGG_TC CAZy BiGG_Reaction PFAMs																																																																																																																																																																																																				
AAG05272.1 287.DR97_5963 1.87e-88 259.0 COG0838@1|root	COG0838@2|Bacteria	1RGUT@1224|Proteobacteria	1S644@1236|Gammaproteobacteria	1YFVH@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria C NDH-1 shuttles electrons from NADH	via FMN and iron- sulfur (Fe-S) centers	to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred	four hydrogen ions are translocated across the cytoplasmic membrane)	and thus conserves the redox energy in a proton gradient nuoA GO:0003674	GO:0003824	GO:0003954	GO:0005575	GO:0008137	GO:0008150	GO:0008152	GO:0016020	GO:0016491	GO:0016651	GO:0016655	GO:0030964	GO:0032991	GO:0044425	GO:0050136	GO:0055114	GO:0098796	GO:1902494 1.6.5.3 ko:K00330 ko00190	ko01100	map00190	map01100 M00144 R11945 RC00061 ko00000	ko00001	ko00002	ko01000 3.D.1 - - Oxidored_q4																																																																																																																																																																					
AAG05273.1 287.DR97_5964 1.23e-129 368.0 COG1396@1|root	COG1396@2|Bacteria	1MVQY@1224|Proteobacteria	1S0N1@1236|Gammaproteobacteria	1YH52@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria K Cro/C1-type HTH DNA-binding domain - - - - - - - - - - - - Cupin_2	HTH_3																																																																																																																																																																																															
AAG05274.1 287.DR97_5962 1.19e-124 355.0 COG0454@1|root	COG0456@2|Bacteria	1PSV1@1224|Proteobacteria	1TCEG@1236|Gammaproteobacteria	1YK8X@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria K Acetyltransferase (GNAT) domain - - - - - - - - - - - - -																																																																																																																																																																																																
AAG05275.1 287.DR97_5961 0.0 1587.0 COG0417@1|root	COG0417@2|Bacteria	1MVY9@1224|Proteobacteria	1RMQ1@1236|Gammaproteobacteria	1YECF@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria L DNA polymerase type-B family polB GO:0003674	GO:0003824	GO:0003887	GO:0004518	GO:0004527	GO:0004529	GO:0004536	GO:0006139	GO:0006259	GO:0006260	GO:0006261	GO:0006281	GO:0006725	GO:0006807	GO:0006950	GO:0006974	GO:0007154	GO:0008150	GO:0008152	GO:0008296	GO:0008408	GO:0009058	GO:0009059	GO:0009432	GO:0009605	GO:0009987	GO:0009991	GO:0016740	GO:0016772	GO:0016779	GO:0016787	GO:0016788	GO:0016796	GO:0016895	GO:0018130	GO:0019438	GO:0031668	GO:0033554	GO:0034061	GO:0034641	GO:0034645	GO:0034654	GO:0043170	GO:0044237	GO:0044238	GO:0044249	GO:0044260	GO:0044271	GO:0045004	GO:0045005	GO:0046483	GO:0050896	GO:0051716	GO:0071496	GO:0071704	GO:0071897	GO:0090304	GO:0090305	GO:0140097	GO:1901360	GO:1901362	GO:1901576 2.7.7.7 ko:K02336 - - - - ko00000	ko01000	ko03400 - - - DNA_pol_B	DNA_pol_B_exo1																																																																																																																																
AAG05278.1 287.DR97_5958 3.27e-78 241.0 2AS3H@1|root	31HG6@2|Bacteria	1QF6Z@1224|Proteobacteria	1TCAB@1236|Gammaproteobacteria	1YK4C@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria - - - - - - - - - - - - - - -																																																																																																																																																																																																
AAG05279.1 287.DR97_5957 6.21e-153 429.0 COG0625@1|root	COG0625@2|Bacteria	1RA4M@1224|Proteobacteria	1RXV5@1236|Gammaproteobacteria	1YHDF@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria O Glutathione S-transferase	N-terminal domain - - 2.5.1.18 ko:K00799 ko00480	ko00980	ko00982	ko00983	ko01524	ko05200	ko05204	ko05225	ko05418	map00480	map00980	map00982	map00983	map01524	map05200	map05204	map05225	map05418 - R03522	R07002	R07003	R07004	R07023	R07024	R07025	R07026	R07069	R07070	R07083	R07084	R07091	R07092	R07093	R07094	R07100	R07113	R07116	R08280	R09409	R11905 RC00004	RC00069	RC00840	RC00948	RC01704	RC01705	RC01706	RC01758	RC01759	RC01765	RC01767	RC01769	RC02243	RC02527	RC02939	RC02940	RC02942	RC02943	RC02944 ko00000	ko00001	ko01000	ko02000 1.A.12.2.2	1.A.12.3.2 - - -																																																																																																																																			
AAG05281.1 287.DR97_5955 3.42e-178 496.0 2F5UA@1|root	33YD8@2|Bacteria	1NWZJ@1224|Proteobacteria 1224|Proteobacteria - - - - - - - - - - - - - - -																																																																																																																																																																																																		
AAG05282.1 287.DR97_5954 0.0 1659.0 COG2366@1|root	COG2366@2|Bacteria	1MVMH@1224|Proteobacteria	1RPRP@1236|Gammaproteobacteria 1236|Gammaproteobacteria S COG2366 Protein related to penicillin acylase - - 3.5.1.11 ko:K01434 ko00311	ko01130	map00311	map01130 - R02170 RC00166	RC00328 ko00000	ko00001	ko01000	ko01002 - - - Penicil_amidase																																																																																																																																																																																										
AAG05283.1 287.DR97_5953 7.53e-151 424.0 COG3751@1|root	COG3751@2|Bacteria	1RJAT@1224|Proteobacteria 1224|Proteobacteria O 2OG-Fe(II) oxygenase superfamily - - - - - - - - - - - - 2OG-FeII_Oxy_3																																																																																																																																																																																																		
AAG05284.1 287.DR97_5952 0.0 902.0 COG3239@1|root	COG3239@2|Bacteria	1RKGD@1224|Proteobacteria	1SBG9@1236|Gammaproteobacteria 1236|Gammaproteobacteria I Fatty acid desaturase - - - - - - - - - - - - FA_desaturase																																																																																																																																																																																																	
AAG05285.1 287.DR97_5951 7.84e-286 780.0 2CD5J@1|root	33UC4@2|Bacteria	1NVBD@1224|Proteobacteria 1224|Proteobacteria - - - - - - - - - - - - - - -																																																																																																																																																																																																		
AAG05286.1 287.DR97_5950 2.33e-190 527.0 COG3000@1|root	COG3000@2|Bacteria	1PK2S@1224|Proteobacteria	1S338@1236|Gammaproteobacteria 1236|Gammaproteobacteria I COG3000 Sterol desaturase - - - - - - - - - - - - FA_hydroxylase																																																																																																																																																																																																	
AAG05287.1 287.DR97_5949 1.9e-171 478.0 COG2197@1|root	COG2197@2|Bacteria	1R4TP@1224|Proteobacteria	1RR98@1236|Gammaproteobacteria 1236|Gammaproteobacteria K Transcriptional regulator sdiA GO:0000976	GO:0001067	GO:0001130	GO:0001216	GO:0003674	GO:0003676	GO:0003677	GO:0003690	GO:0003700	GO:0005488	GO:0005575	GO:0006355	GO:0008150	GO:0009889	GO:0009891	GO:0009893	GO:0010468	GO:0010556	GO:0010557	GO:0010564	GO:0010604	GO:0010628	GO:0019219	GO:0019222	GO:0031323	GO:0031325	GO:0031326	GO:0031328	GO:0031334	GO:0032465	GO:0032467	GO:0032991	GO:0032993	GO:0043254	GO:0043565	GO:0044087	GO:0044089	GO:0044212	GO:0045787	GO:0045893	GO:0045935	GO:0048518	GO:0048522	GO:0050789	GO:0050794	GO:0051128	GO:0051130	GO:0051171	GO:0051173	GO:0051252	GO:0051254	GO:0051302	GO:0051726	GO:0051781	GO:0060255	GO:0065007	GO:0080090	GO:0090068	GO:0097159	GO:0140110	GO:1901363	GO:1902680	GO:1903506	GO:1903508	GO:1990837	GO:2000112	GO:2000142	GO:2000144	GO:2001141 - ko:K07782	ko:K15852	ko:K19666	ko:K19734 ko02020	ko02024	ko02026	map02020	map02024	map02026 - - - ko00000	ko00001	ko03000 - - - Autoind_bind	GerE																																																																																																																		
AAG05288.1 287.DR97_5948 2.2e-124 353.0 COG3631@1|root	COG3631@2|Bacteria	1RF40@1224|Proteobacteria	1S3ZH@1236|Gammaproteobacteria 1236|Gammaproteobacteria S Phenazine biosynthesis protein A/B - - - ko:K20260 ko00405	ko01130	ko02024	map00405	map01130	map02024 M00835 R11493 RC03452 ko00000	ko00001	ko00002 - - - PHZA_PHZB																																																																																																																																																																																										
AAG05289.1 287.DR97_5947 6.3e-124 352.0 COG3631@1|root	COG3631@2|Bacteria	1RF40@1224|Proteobacteria	1S3ZH@1236|Gammaproteobacteria 1236|Gammaproteobacteria S Phenazine biosynthesis protein A/B phzB - - ko:K20260 ko00405	ko01130	ko02024	map00405	map01130	map02024 M00835 R11493 RC03452 ko00000	ko00001	ko00002 - - - PHZA_PHZB																																																																																																																																																																																										
AAG05290.1 287.DR97_3699 4.31e-298 812.0 COG3200@1|root	COG3200@2|Bacteria	1MUWF@1224|Proteobacteria	1RRMM@1236|Gammaproteobacteria	1YES6@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria E phospho-2-dehydro-3-deoxyheptonate aldolase phzC - 2.5.1.54 ko:K01626 ko00400	ko01100	ko01110	ko01130	ko01230	ko02024	map00400	map01100	map01110	map01130	map01230	map02024 M00022 R01826 RC00435 ko00000	ko00001	ko00002	ko01000 - - - DAHP_synth_2																																																																																																																																																																																		
AAG05291.1 287.DR97_3698 8.48e-151 423.0 COG1535@1|root	COG1535@2|Bacteria	1MW2U@1224|Proteobacteria	1RRZ8@1236|Gammaproteobacteria 1236|Gammaproteobacteria Q Isochorismatase - - 3.3.2.1	3.3.2.15	6.3.2.14 ko:K01252	ko:K20261 ko00405	ko01053	ko01110	ko01130	ko02024	map00405	map01053	map01110	map01130	map02024 M00835 R03037	R07644	R11463 RC00162	RC00350	RC02148	RC03046 ko00000	ko00001	ko00002	ko01000	ko01008 - - - Isochorismatase																																																																																																																																																																												
AAG05292.1 287.DR97_3697 0.0 1226.0 COG0147@1|root	COG0512@1|root	COG0147@2|Bacteria	COG0512@2|Bacteria	1R3RU@1224|Proteobacteria	1RSHJ@1236|Gammaproteobacteria 1236|Gammaproteobacteria EH chorismate binding enzyme ehpC - 2.6.1.86 ko:K13063 ko00405	ko01130	ko02024	map00405	map01130	map02024 M00835 R08956 RC00010	RC02387 ko00000	ko00001	ko00002	ko01000 - - - Chorismate_bind	GATase																																																																																																																																																																																					
AAG05293.1 287.DR97_3696 3.07e-202 559.0 COG0384@1|root	COG0384@2|Bacteria	1MUAS@1224|Proteobacteria	1S11P@1236|Gammaproteobacteria 1236|Gammaproteobacteria S Phenazine biosynthesis-like protein - - 5.3.3.17 ko:K06998 ko00405	ko01130	ko02024	map00405	map01130	map02024 M00835 - - ko00000	ko00001	ko00002	ko01000 - - - PhzC-PhzF																																																																																																																																																																																									
AAG05294.1 287.DR97_5941 6.9e-129 365.0 COG0537@1|root	COG0537@2|Bacteria	1Q4NJ@1224|Proteobacteria	1TC2M@1236|Gammaproteobacteria	1YJQ5@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria FG adenosine 5'-monophosphoramidase activity - - - - - - - - - - - - -																																																																																																																																																																																																
AAG05295.1 287.DR97_5940 0.0 1092.0 COG4188@1|root	COG4188@2|Bacteria	1N436@1224|Proteobacteria	1SBM7@1236|Gammaproteobacteria 1236|Gammaproteobacteria S Platelet-activating factor acetylhydrolase	isoform II - - - - - - - - - - - - PAF-AH_p_II																																																																																																																																																																																																
AAG05296.1 287.DR97_5939 1.17e-269 740.0 COG0477@1|root	COG2814@2|Bacteria	1MVSC@1224|Proteobacteria	1S029@1236|Gammaproteobacteria	1YEKE@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria EGP Major Facilitator Superfamily - - - - - - - - - - - - MFS_1																																																																																																																																																																																																
AAG05297.1 287.DR97_5937 3.65e-272 745.0 COG3182@1|root	COG3182@2|Bacteria	1MW2S@1224|Proteobacteria	1S0GC@1236|Gammaproteobacteria	1YKQ2@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria S PepSY-associated TM region - - - - - - - - - - - - PepSY_TM																																																																																																																																																																																																
AAG05298.1 287.DR97_5936 0.0 1550.0 COG4774@1|root	COG4774@2|Bacteria	1MVZD@1224|Proteobacteria	1RN2P@1236|Gammaproteobacteria	1YDKK@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria P Secretin and TonB N terminus short domain - - - ko:K02014 - - - - ko00000	ko02000 1.B.14 - - Plug	STN	TonB_dep_Rec																																																																																																																																																																																													
AAG05299.1 287.DR97_5935 2.04e-226 624.0 COG3712@1|root	COG3712@2|Bacteria	1N28G@1224|Proteobacteria	1SXCH@1236|Gammaproteobacteria	1YJMB@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria PT Domain of unknown function (DUF4880) - - - ko:K07165 - - - - ko00000 - - - DUF4880	FecR																																																																																																																																																																																															
AAG05300.1 287.DR97_5934 2.54e-117 335.0 COG1595@1|root	COG1595@2|Bacteria	1RHRW@1224|Proteobacteria	1RU8H@1236|Gammaproteobacteria	1YJST@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria K Sigma-70 region 2 - - - ko:K03088 - - - - ko00000	ko03021 - - - Sigma70_r2																																																																																																																																																																																															
AAG05301.1 216595.PFLU_4243 6.63e-91 273.0 2DMBE@1|root	32GQM@2|Bacteria 2|Bacteria - - - - - - - - - - - - - - -																																																																																																																																																																																																			
AAG05302.1 287.DR97_5932 4.93e-310 843.0 COG5492@1|root	COG5492@2|Bacteria	1RFWD@1224|Proteobacteria	1S53X@1236|Gammaproteobacteria 1236|Gammaproteobacteria N domain	Protein - - - - - - - - - - - - DUF2599																																																																																																																																																																																																
AAG05303.1 287.DR97_5931 0.0 991.0 COG2508@1|root	COG2508@2|Bacteria	1QPIG@1224|Proteobacteria	1T9YR@1236|Gammaproteobacteria	1YDU2@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria QT Purine catabolism regulatory protein-like family - - - ko:K09684 - - - - ko00000	ko03000 - - - HTH_30	PucR																																																																																																																																																																																														
AAG05304.1 287.DR97_5930 7.97e-292 797.0 COG0814@1|root	COG0814@2|Bacteria	1NC1E@1224|Proteobacteria	1RPT5@1236|Gammaproteobacteria	1YH9U@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria E Transmembrane amino acid transporter protein - - - - - - - - - - - - Trp_Tyr_perm																																																																																																																																																																																																
AAG05305.1 287.DR97_5929 1.11e-81 241.0 COG3450@1|root	COG3450@2|Bacteria	1N76U@1224|Proteobacteria	1SS7U@1236|Gammaproteobacteria	1YJXJ@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria S Protein of unknown function (DUF861) - - - ko:K06995 - - - - ko00000 - - - Cupin_3																																																																																																																																																																																																
AAG05306.1 287.DR97_5928 0.0 929.0 COG0665@1|root	COG0665@2|Bacteria	1MVGP@1224|Proteobacteria	1RNJ9@1236|Gammaproteobacteria	1YFM2@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria E FAD dependent oxidoreductase - - - - - - - - - - - - DAO																																																																																																																																																																																																
AAG05307.1 287.DR97_5927 1.69e-167 468.0 COG1180@1|root	COG1180@2|Bacteria	1NQC1@1224|Proteobacteria	1S4IN@1236|Gammaproteobacteria	1YDEF@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria O 4Fe-4S single cluster domain nrdG - 1.97.1.4 ko:K04069 - - R04710 - ko00000	ko01000 - - - Fer4_12	Radical_SAM																																																																																																																																																																																														
AAG05308.1 287.DR97_5925 0.0 1387.0 COG1327@1|root	COG1328@1|root	COG1327@2|Bacteria	COG1328@2|Bacteria	1MWMS@1224|Proteobacteria	1RNHS@1236|Gammaproteobacteria	1YEG8@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria F Anaerobic ribonucleoside-triphosphate reductase nrdD GO:0000166	GO:0003674	GO:0003824	GO:0005488	GO:0005524	GO:0005575	GO:0005622	GO:0005623	GO:0005737	GO:0006139	GO:0006725	GO:0006753	GO:0006793	GO:0006796	GO:0006807	GO:0008144	GO:0008150	GO:0008152	GO:0008270	GO:0008998	GO:0009058	GO:0009117	GO:0009165	GO:0009262	GO:0009263	GO:0009265	GO:0009394	GO:0009987	GO:0015949	GO:0016491	GO:0016725	GO:0016728	GO:0017076	GO:0018130	GO:0019001	GO:0019103	GO:0019438	GO:0019637	GO:0019692	GO:0030554	GO:0031250	GO:0032552	GO:0032553	GO:0032554	GO:0032555	GO:0032556	GO:0032558	GO:0032559	GO:0032560	GO:0032564	GO:0032567	GO:0032991	GO:0034641	GO:0034654	GO:0035639	GO:0036094	GO:0043167	GO:0043168	GO:0043169	GO:0044237	GO:0044238	GO:0044249	GO:0044271	GO:0044281	GO:0044424	GO:0044444	GO:0044464	GO:0046385	GO:0046483	GO:0046872	GO:0046914	GO:0051065	GO:0055086	GO:0055114	GO:0071704	GO:0090407	GO:0097159	GO:0097367	GO:1901135	GO:1901137	GO:1901265	GO:1901293	GO:1901360	GO:1901362	GO:1901363	GO:1901576 1.1.98.6 ko:K21636 ko00230	ko00240	ko01100	map00230	map00240	map01100 M00053 R11633	R11634	R11635	R11636 RC00613 ko00000	ko00001	ko00002	ko01000 - - iECIAI39_1322.ECIAI39_4713	iPC815.YPO3454 ATP-cone	NRDD																																																																																												
AAG05309.1 287.DR97_5924 2.5e-192 533.0 COG0500@1|root	COG0500@2|Bacteria 2|Bacteria Q methyltransferase activity - - - - - - - - - - - - Methyltransf_11	Methyltransf_23	Methyltransf_25	Methyltransf_31																																																																																																																																																																																																
AAG05310.1 287.DR97_5923 0.0 1307.0 COG1629@1|root	COG4771@2|Bacteria	1MUC1@1224|Proteobacteria	1RNHR@1236|Gammaproteobacteria	1YE9T@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria P Outer membrane protein beta-barrel family - - - ko:K16089	ko:K19611 ko02020	map02020 - - - ko00000	ko00001	ko02000 1.B.14.1	1.B.14.1.22	1.B.14.1.3	1.B.14.1.5	1.B.14.10 - - Plug	TonB_dep_Rec																																																																																																																																																																																							
AAG05311.1 287.DR97_5922 0.0 2513.0 COG1429@1|root	COG1429@2|Bacteria	1MU5W@1224|Proteobacteria	1RQED@1236|Gammaproteobacteria	1YEJ1@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria H CobN/Magnesium Chelatase cobN - 6.6.1.2 ko:K02230 ko00860	ko01100	map00860	map01100 - R05227 RC02000 ko00000	ko00001	ko01000 - - - CobN-Mg_chel																																																																																																																																																																																											
AAG05312.1 287.DR97_5921 1.74e-101 295.0 COG0811@1|root	COG0811@2|Bacteria	1RJQC@1224|Proteobacteria	1S6C3@1236|Gammaproteobacteria 1236|Gammaproteobacteria U COG0811 Biopolymer transport proteins - - - - - - - - - - - - MotA_ExbB																																																																																																																																																																																																	
AAG05313.1 287.DR97_5920 4.33e-69 209.0 COG4744@1|root	COG4744@2|Bacteria	1N1J3@1224|Proteobacteria	1S9QG@1236|Gammaproteobacteria 1236|Gammaproteobacteria S Uncharacterized conserved protein (DUF2149) - - - - - - - - - - - - DUF2149																																																																																																																																																																																																	
AAG05314.1 287.DR97_5919 0.0 1239.0 COG1765@1|root	COG1944@1|root	COG1765@2|Bacteria	COG1944@2|Bacteria	1MV7K@1224|Proteobacteria	1RN47@1236|Gammaproteobacteria	1YEH0@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria O YcaO cyclodehydratase	ATP-ad Mg2+-binding ycaO GO:0000287	GO:0003674	GO:0003824	GO:0005488	GO:0005575	GO:0005622	GO:0005623	GO:0005737	GO:0005829	GO:0006464	GO:0006807	GO:0008150	GO:0008152	GO:0009987	GO:0016462	GO:0016787	GO:0016817	GO:0016818	GO:0018193	GO:0018197	GO:0018198	GO:0018339	GO:0019538	GO:0036211	GO:0043167	GO:0043169	GO:0043170	GO:0043412	GO:0044237	GO:0044238	GO:0044260	GO:0044267	GO:0044424	GO:0044444	GO:0044464	GO:0046872	GO:0047429	GO:0047693	GO:0071704	GO:1901564 - ko:K09136 - - - - ko00000	ko03009 - - - OsmC	YcaO																																																																																																																																																				
AAG05315.1 287.DR97_5918 0.0 1531.0 COG0620@1|root	COG0620@2|Bacteria	1MUI9@1224|Proteobacteria	1RMBA@1236|Gammaproteobacteria	1YEQ2@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria E Catalyzes the transfer of a methyl group from 5- methyltetrahydrofolate to homocysteine resulting in methionine formation metE GO:0000096	GO:0000097	GO:0003674	GO:0003824	GO:0003871	GO:0005575	GO:0005576	GO:0005622	GO:0005623	GO:0005737	GO:0005829	GO:0006082	GO:0006464	GO:0006479	GO:0006520	GO:0006555	GO:0006575	GO:0006725	GO:0006730	GO:0006732	GO:0006760	GO:0006790	GO:0006807	GO:0008150	GO:0008152	GO:0008168	GO:0008172	GO:0008213	GO:0008276	GO:0008652	GO:0008705	GO:0009058	GO:0009066	GO:0009067	GO:0009086	GO:0009987	GO:0016053	GO:0016740	GO:0016741	GO:0019538	GO:0019752	GO:0032259	GO:0034641	GO:0035999	GO:0036211	GO:0042084	GO:0042085	GO:0042558	GO:0043170	GO:0043412	GO:0043414	GO:0043436	GO:0043603	GO:0044237	GO:0044238	GO:0044249	GO:0044260	GO:0044267	GO:0044272	GO:0044281	GO:0044283	GO:0044424	GO:0044444	GO:0044464	GO:0046394	GO:0046483	GO:0046653	GO:0050667	GO:0051186	GO:0071704	GO:0140096	GO:1901360	GO:1901564	GO:1901566	GO:1901576	GO:1901605	GO:1901607 2.1.1.14 ko:K00549 ko00270	ko00450	ko01100	ko01110	ko01230	map00270	map00450	map01100	map01110	map01230 M00017 R04405	R09365 RC00035	RC00113	RC01241 ko00000	ko00001	ko00002	ko01000 - - iE2348C_1286.E2348C_4130	iECO103_1326.ECO103_4334	iECO111_1330.ECO111_4657	iECO26_1355.ECO26_4756	iECW_1372.ECW_m4131	iEKO11_1354.EKO11_4528	iPC815.YPO3788	iWFL_1372.ECW_m4131 Meth_synt_1	Meth_synt_2																																																																																													
AAG05316.1 287.DR97_5917 2.93e-135 383.0 COG1670@1|root	COG1670@2|Bacteria	1MVG4@1224|Proteobacteria	1RQPX@1236|Gammaproteobacteria 1236|Gammaproteobacteria J COG1670 Acetyltransferases	including N-acetylases of ribosomal proteins rimJ - 2.3.1.128 ko:K03790 - - - - ko00000	ko01000	ko03009 - - - Acetyltransf_3																																																																																																																																																																																														
AAG05317.1 287.DR97_5916 2.84e-67 203.0 2EDPD@1|root	337J2@2|Bacteria	1NDVI@1224|Proteobacteria 1224|Proteobacteria - - - - - - - - - - - - - - -																																																																																																																																																																																																		
AAG05318.1 287.DR97_5915 9.85e-299 816.0 COG0840@1|root	COG2202@1|root	COG0840@2|Bacteria	COG2202@2|Bacteria	1MU9B@1224|Proteobacteria	1RMH0@1236|Gammaproteobacteria	1YHJP@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria NT Methyl-accepting chemotaxis-like domains (chemotaxis sensory transducer). bdlA - - ko:K03406 ko02020	ko02030	map02020	map02030 - - - ko00000	ko00001	ko02035 - - - MCPsignal	PAS_3	PAS_4	PAS_9																																																																																																																																																																																						
AAG05319.1 287.DR97_5914 1.65e-123 351.0 COG2080@1|root	COG2080@2|Bacteria	1RDAS@1224|Proteobacteria	1S3X7@1236|Gammaproteobacteria	1YG85@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria C [2Fe-2S] binding domain yagT - 1.2.5.3	1.3.99.8 ko:K03518	ko:K13483	ko:K16879 ko00230	ko00365	ko01100	ko01120	map00230	map00365	map01100	map01120 M00546 R01768	R02103	R02987	R11168 RC00143	RC01856	RC02800 ko00000	ko00001	ko00002	ko01000 - - - Fer2	Fer2_2																																																																																																																																																																													
AAG05320.1 287.DR97_5913 4.36e-239 657.0 COG1319@1|root	COG1319@2|Bacteria	1MVJS@1224|Proteobacteria	1RY6A@1236|Gammaproteobacteria	1YFRJ@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria C CO dehydrogenase flavoprotein C-terminal domain yagS - 1.17.1.4 ko:K11178 ko00230	ko01100	ko01120	map00230	map01100	map01120 M00546 R01768	R02103 RC00143 ko00000	ko00001	ko00002	ko01000 - - - CO_deh_flav_C	FAD_binding_5																																																																																																																																																																																						
AAG05321.1 287.DR97_5912 0.0 1426.0 COG1529@1|root	COG1529@2|Bacteria	1MUEA@1224|Proteobacteria	1RN40@1236|Gammaproteobacteria	1YEX4@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria C Aldehyde oxidase and xanthine dehydrogenase	a/b hammerhead domain yagR - 1.17.1.4 ko:K11177 ko00230	ko01100	ko01120	map00230	map01100	map01120 M00546 R01768	R02103 RC00143 ko00000	ko00001	ko00002	ko01000 - - - Ald_Xan_dh_C	Ald_Xan_dh_C2																																																																																																																																																																																					
AAG05322.1 287.DR97_5911 4.01e-78 233.0 2E62F@1|root	330RJ@2|Bacteria	1NDS6@1224|Proteobacteria	1SEET@1236|Gammaproteobacteria 1236|Gammaproteobacteria S Domain of unknown function (DUF4354) - - - - - - - - - - - - DUF4354																																																																																																																																																																																																	
AAG05323.1 1123392.AQWL01000001_gene1308 1.38e-75 234.0 COG0210@1|root	COG0210@2|Bacteria	1MXV9@1224|Proteobacteria 1224|Proteobacteria L DNA helicase - - 3.6.4.12 ko:K03657 ko03420	ko03430	map03420	map03430 - - - ko00000	ko00001	ko01000	ko03400 - - - AAA_19	UvrD-helicase																																																																																																																																																																																											
AAG05325.1 287.DR97_5810 2.8e-60 186.0 COG2963@1|root	COG2963@2|Bacteria	1N04F@1224|Proteobacteria	1S6GJ@1236|Gammaproteobacteria 1236|Gammaproteobacteria L Transposase - - - ko:K07483 - - - - ko00000 - - - HTH_Tnp_1																																																																																																																																																																																																	
AAG05326.1 287.DR97_5228 5.72e-200 553.0 COG2801@1|root	COG2801@2|Bacteria	1MVXQ@1224|Proteobacteria	1RPEW@1236|Gammaproteobacteria	1YJPN@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria L HTH-like domain - - - ko:K07497 - - - - ko00000 - - - HTH_21	rve																																																																																																																																																																																															
AAG05327.1 1149133.ppKF707_2838 1.25e-298 837.0 COG3593@1|root	COG3593@2|Bacteria	1MXAH@1224|Proteobacteria	1RYZW@1236|Gammaproteobacteria 1236|Gammaproteobacteria L AAA ATPase domain - - - ko:K07459 - - - - ko00000 - - - AAA_15																																																																																																																																																																																																	
AAG05328.1 287.DR97_5908 6.93e-284 774.0 COG0753@1|root	COG0753@2|Bacteria	1RC6W@1224|Proteobacteria	1S3BQ@1236|Gammaproteobacteria	1YDH0@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria P Catalase - - - - - - - - - - - - Catalase																																																																																																																																																																																																
AAG05329.1 287.DR97_5907 0.0 1292.0 COG2010@1|root	COG2010@2|Bacteria	1MVYK@1224|Proteobacteria	1RQH2@1236|Gammaproteobacteria	1YEVD@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria C Cytochrome c - - - - - - - - - - - - -																																																																																																																																																																																																
AAG05330.1 287.DR97_5906 2.21e-22 87.8 2BQFF@1|root	32JAV@2|Bacteria	1QFAK@1224|Proteobacteria	1TCGK@1236|Gammaproteobacteria	1YKB4@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria - - - - - - - - - - - - - - -																																																																																																																																																																																																
AAG05331.1 287.DR97_5905 7.33e-272 743.0 COG0454@1|root	COG0456@2|Bacteria	1MVZ2@1224|Proteobacteria	1RSC5@1236|Gammaproteobacteria	1YI1U@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria K Peptidase_C39 like family - - - - - - - - - - - - Acetyltransf_1	Acetyltransf_10	DUF3335																																																																																																																																																																																														
AAG05332.1 287.DR97_5904 0.0 1005.0 COG0189@1|root	COG0189@2|Bacteria	1MX5X@1224|Proteobacteria	1RNXP@1236|Gammaproteobacteria	1YJAT@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria HJ RimK-like ATP-grasp domain - - - - - - - - - - - - Dala_Dala_lig_C	RLAN	RimK																																																																																																																																																																																														
